Nombre,Direccion,Longitud,Latitud
"""CARS"" Servicio y Refacciones Automotriz Campos","Sta. Rosa entre enredadera y pozo, Sascalum, 24095 San Francisco de Campeche, Camp.",-90.532501,19.8185
"""MISTER PERRO"" CONSULTORIO MEDICO VETERINARIO","Calle 16 264, entre 49 y 49-C, Barrio de Guadalupe, 24010 San Francisco de Campeche, Camp.",-90.531135,19.844569
"""VADENTAL""CONSULTORIO DENTAL. CLINICA INTEGRAL Y ESPECIALIZADA","Av López Portillo 3, Villa Laureles II, 24094 San Francisco de Campeche, Camp.",-90.536907,19.81596
*La Ermita*,"Calle 10 & Av. Alvaro Obregon, Pablo García, 24020 San Francisco de Campeche, Camp.",-90.520229,19.851397
24K Barber Studio & Perfumery,"Calle Ah Kim Pech Entre calle 2 y 3 Fraccionamiento Tula, Vivah, 24088 San Francisco de Campeche, Camp.",-90.481234,19.853051
2sis Servicios Informáticos,"C. Justo Sierra 22, entre Calle 16 y Pablo García, Barrio de San Román, 24040 San Francisco de Campeche, Camp.",-90.548372,19.834135
3CR Corporativo de Servicios Integrales del Sur,"Chablé 9B, San Antonio, 24099 San Francisco de Campeche, Camp.",-90.540458,19.823238
3N Farmacias Tercer Nivel Especialidades Médicas.,"Av Luis Donaldo Colosio Murrieta 70, entre Calle Jalisco y Calle Ecuador, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.522575,19.83589
5 Reyes,"C. Paraguay Manzana 3 Lote 1, Parque Residencial la Noria, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.52674,19.835157
52 Navajas Studio,"C. 14, Montecristo, 24030 San Francisco de Campeche, Camp.",-90.550773,19.834989
"Abarrotes ""bodoques""","9, 24520 Chiná, Camp.",-90.495471,19.771911
"Abarrotes ""Carmita""","Prado, 24035 San Francisco de Campeche, Camp.",-90.548656,19.831953
"Abarrotes ""Divino Niño Jesus Y San Matrin De Porres""","Lázaro Cárdenas, 24095 San Francisco de Campeche, Camp.",-90.534784,19.807484
"Abarrotes ""El Bosque""","Calle 16 39, Barrio de Sta Lucía, 24020 San Francisco de Campeche, Camp.",-90.512413,19.846376
"Abarrotes ""El Divino Nino""","C. Querétaro, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.524426,19.835237
"Abarrotes ""El Lobo""","Quinta Belem I y II, 24050 San Francisco de Campeche, Camp.",-90.530024,19.830849
"Abarrotes ""El manantial""","San Rafael calle 2, C. Rosa Maria Martinez Denegri de, entre mora y Rosamaria, 24090 San Francisco de Campeche, Camp.",-90.540808,19.826709
"Abarrotes ""La Bendicion De Dios""","Orquídeas 55, Jardines, 24060 San Francisco de Campeche, Camp.",-90.516759,19.832674
"Abarrotes ""La Cruz""","Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.525382,19.833955
"Abarrotes ""La Lupita""","24020, Bellavista, 24020 Mexico, Camp.",-90.511526,19.85476
"Abarrotes ""Mary""","Av Luis Donaldo Colosio Murrieta, San Rafael, 24090 San Francisco de Campeche, Camp.",-90.535056,19.829977
"Abarrotes ""Ordoñez""","Primer Rtno. Mza 25-1, Mártires de Río Blanco, 24024 San Francisco de Campeche, Camp.",-90.513162,19.850339
